cayley,cayley,cayley
-857.5841674804688,-858.1442260742188,-529.3302612304688
-857.6019287109375,-858.175048828125,-529.2462158203125
-857.6244506835938,-858.2099609375,-529.1361694335938
-857.6453247070312,-858.232177734375,-528.9736938476562
-857.6664428710938,-858.2521362304688,-528.8888549804688
-857.6765747070312,-858.2503662109375,-528.8421630859375
-857.6701049804688,-858.2305908203125,-529.0183715820312
-857.620361328125,-858.1550903320312,-529.1973876953125
-857.4931030273438,-858.0087890625,-529.3818969726562
-857.2152709960938,-857.6830444335938,-529.473876953125
-856.7243041992188,-857.1732177734375,-529.5188598632812
-856.0462646484375,-856.2418823242188,-529.5361938476562
-855.5439453125,-855.5380249023438,-529.5466918945312
-855.6010131835938,-854.88427734375,-529.5474243164062
-856.2258911132812,-855.88720703125,-529.5347290039062
-856.9519653320312,-856.9075317382812,-529.4923095703125
-857.4459228515625,-857.8887329101562,-529.3964233398438
-857.7188720703125,-858.3089599609375,-529.2135009765625
-857.8602294921875,-858.4656982421875,-528.908935546875
-857.946533203125,-858.518798828125,-528.5696411132812
-858.010498046875,-858.5667724609375,-528.3884887695312
-858.0543212890625,-858.60498046875,-528.6727294921875
-858.09033203125,-858.6480712890625,-529.1533813476562
-858.1129760742188,-858.6785278320312,-529.5012817382812
-858.1334838867188,-858.7098388671875,-529.6063842773438
-858.1441650390625,-858.7285766601562,-529.61376953125
-858.1563110351562,-858.7490844726562,-529.6272583007812
-858.1605224609375,-858.7576293945312,-529.6447143554688
-858.1701049804688,-858.7703857421875,-529.6696166992188
-858.173828125,-858.7713623046875,-529.68408203125
-858.1864624023438,-858.781005859375,-529.6990356445312
-858.193115234375,-858.7793579101562,-529.7055053710938
-858.2073974609375,-858.79248046875,-529.7138671875
-858.2080688476562,-858.79541015625,-529.7150268554688
-858.2011108398438,-858.8182983398438,-529.7197875976562
-858.1522216796875,-858.8311157226562,-529.7169189453125
-858.0450439453125,-858.8638916015625,-529.7199096679688
-857.8186645507812,-858.8844604492188,-529.7147827148438
-857.4459228515625,-858.919677734375,-529.7180786132812
-856.959228515625,-858.9389038085938,-529.7128295898438
-856.5782470703125,-858.9639282226562,-529.7182006835938
-856.5564575195312,-858.9658813476562,-529.7146606445312
-856.8946533203125,-858.9569091796875,-529.7220458984375
-857.3914184570312,-858.9033203125,-529.7203369140625
-857.805419921875,-858.7875366210938,-529.72802734375
-858.1005249023438,-858.5623168945312,-529.727294921875
-858.2799072265625,-858.1213989257812,-529.7333984375
-858.3919067382812,-857.5264282226562,-529.733642578125
-858.47216796875,-856.5895385742188,-529.73681640625
-858.5230102539062,-856.300537109375,-529.7369995117188
-858.5653686523438,-856.248779296875,-529.7320556640625
-858.58740234375,-857.4012451171875,-529.7232666015625
-858.6083984375,-858.2850341796875,-529.6961669921875
-858.6124877929688,-858.8746948242188,-529.6614379882812
-858.6183471679688,-859.1077270507812,-529.5999755859375
-858.606201171875,-859.166748046875,-529.546142578125
-858.5938720703125,-859.1975708007812,-529.4927368164062
-858.5552978515625,-859.2073974609375,-529.511474609375
-858.504150390625,-859.2382202148438,-529.5767211914062
-858.4049682617188,-859.2550659179688,-529.7144775390625
